date,Total New Cases
05/01/20,9
06/01/20,0
07/01/20,0
08/01/20,0
09/01/20,0
10/01/20,0
11/01/20,0
12/01/20,180
13/01/20,0
14/01/20,0
15/01/20,0
16/01/20,0
17/01/20,0
18/01/20,0
19/01/20,362
20/01/20,0
21/01/20,0
22/01/20,0
23/01/20,0
24/01/20,0
25/01/20,0
26/01/20,7589
27/01/20,0
28/01/20,0
29/01/20,0
30/01/20,0
31/01/20,0
01/02/20,0
02/02/20,50170
03/02/20,0
04/02/20,0
05/02/20,0
06/02/20,0
07/02/20,0
08/02/20,0
09/02/20,92107
10/02/20,0
11/02/20,0
12/02/20,0
13/02/20,0
14/02/20,0
15/02/20,0
16/02/20,126376
17/02/20,0
18/02/20,0
19/02/20,0
20/02/20,0
21/02/20,0
22/02/20,0
23/02/20,37735
24/02/20,0
25/02/20,0
26/02/20,0
27/02/20,0
28/02/20,0
29/02/20,0
01/03/20,34466
02/03/20,0
03/03/20,0
04/03/20,0
05/03/20,0
06/03/20,0
07/03/20,0
08/03/20,89114
09/03/20,0
10/03/20,0
11/03/20,0
12/03/20,0
13/03/20,0
14/03/20,0
15/03/20,281966
16/03/20,0
17/03/20,0
18/03/20,0
19/03/20,0
20/03/20,0
21/03/20,0
22/03/20,791658
23/03/20,0
24/03/20,0
25/03/20,0
26/03/20,0
27/03/20,0
28/03/20,0
29/03/20,1577787
30/03/20,0
31/03/20,0
01/04/20,0
02/04/20,0
03/04/20,0
04/04/20,0
05/04/20,2020561
06/04/20,0
07/04/20,0
08/04/20,0
09/04/20,0
10/04/20,0
11/04/20,0
12/04/20,2227894
13/04/20,0
14/04/20,0
15/04/20,0
16/04/20,0
17/04/20,0
18/04/20,0
19/04/20,2129973
20/04/20,0
21/04/20,0
22/04/20,0
23/04/20,0
24/04/20,0
25/04/20,0
26/04/20,2239716
27/04/20,0
28/04/20,0
29/04/20,0
30/04/20,0
01/05/20,0
02/05/20,0
03/05/20,2234189
04/05/20,0
05/05/20,0
06/05/20,0
07/05/20,0
08/05/20,0
09/05/20,0
10/05/20,2367242
11/05/20,0
12/05/20,0
13/05/20,0
14/05/20,0
15/05/20,0
16/05/20,0
17/05/20,2476532
18/05/20,0
19/05/20,0
20/05/20,0
21/05/20,0
22/05/20,0
23/05/20,0
24/05/20,2818329
25/05/20,0
26/05/20,0
27/05/20,0
28/05/20,0
29/05/20,0
30/05/20,0
31/05/20,2943597
01/06/20,0
02/06/20,0
03/06/20,0
04/06/20,0
05/06/20,0
06/06/20,0
07/06/20,3403754
08/06/20,0
09/06/20,0
10/06/20,0
11/06/20,0
12/06/20,0
13/06/20,0
14/06/20,3636358
15/06/20,0
16/06/20,0
17/06/20,0
18/06/20,0
19/06/20,0
20/06/20,0
21/06/20,4152926
22/06/20,0
23/06/20,0
24/06/20,0
25/06/20,0
26/06/20,0
27/06/20,0
28/06/20,4658996
29/06/20,0
30/06/20,0
01/07/20,0
02/07/20,0
03/07/20,0
04/07/20,0
05/07/20,5338766
06/07/20,0
07/07/20,0
08/07/20,0
09/07/20,0
10/07/20,0
