Source,Target ,Type,Attribute,Value
T_2009_03,T_2009_04,Temporary-Temporary,Term,1
T_2009_03,T_2009_05,Temporary-Temporary,Term,1
T_2009_04,T_2009_05,Temporary-Temporary,Term,1
T_2009_06,T_2009_07,Temporary-Temporary,Term,3
T_2009_06,T_2009_08,Temporary-Temporary,Term,3
T_2009_07,T_2009_08,Temporary-Temporary,Term,3
T_2009_06,T_2009_09,Temporary-Temporary,Term,3
T_2009_07,T_2009_09,Temporary-Temporary,Term,3
T_2009_08,T_2009_09,Temporary-Temporary,Term,3
T_2009_06,T_2009_10,Temporary-Temporary,Term,3
T_2009_07,T_2009_10,Temporary-Temporary,Term,3
T_2009_08,T_2009_10,Temporary-Temporary,Term,3
T_2009_09,T_2009_10,Temporary-Temporary,Term,3
T_2009_06,T_2009_11,Temporary-Temporary,Term,3
T_2009_07,T_2009_11,Temporary-Temporary,Term,3
T_2009_08,T_2009_11,Temporary-Temporary,Term,3
T_2009_09,T_2009_11,Temporary-Temporary,Term,3
T_2009_10,T_2009_11,Temporary-Temporary,Term,3
T_2009_06,T_2009_12,Temporary-Temporary,Term,3
T_2009_07,T_2009_12,Temporary-Temporary,Term,3
T_2009_08,T_2009_12,Temporary-Temporary,Term,3
T_2009_09,T_2009_12,Temporary-Temporary,Term,3
T_2009_10,T_2009_12,Temporary-Temporary,Term,3
T_2009_11,T_2009_12,Temporary-Temporary,Term,3
T_2009_06,T_2010_01,Temporary-Temporary,Term,3
T_2009_07,T_2010_01,Temporary-Temporary,Term,3
T_2009_08,T_2010_01,Temporary-Temporary,Term,3
T_2009_09,T_2010_01,Temporary-Temporary,Term,3
T_2009_10,T_2010_01,Temporary-Temporary,Term,3
T_2009_11,T_2010_01,Temporary-Temporary,Term,3
T_2009_12,T_2010_01,Temporary-Temporary,Term,3
T_2009_06,T_2010_02,Temporary-Temporary,Term,3
T_2009_07,T_2010_02,Temporary-Temporary,Term,3
T_2009_08,T_2010_02,Temporary-Temporary,Term,3
T_2009_09,T_2010_02,Temporary-Temporary,Term,3
T_2009_10,T_2010_02,Temporary-Temporary,Term,3
T_2009_11,T_2010_02,Temporary-Temporary,Term,3
T_2009_12,T_2010_02,Temporary-Temporary,Term,3
T_2010_01,T_2010_02,Temporary-Temporary,Term,3
T_2009_06,T_2010_03,Temporary-Temporary,Term,3
T_2009_07,T_2010_03,Temporary-Temporary,Term,3
T_2009_08,T_2010_03,Temporary-Temporary,Term,3
T_2009_09,T_2010_03,Temporary-Temporary,Term,3
T_2009_10,T_2010_03,Temporary-Temporary,Term,3
T_2009_11,T_2010_03,Temporary-Temporary,Term,3
T_2009_12,T_2010_03,Temporary-Temporary,Term,3
T_2010_01,T_2010_03,Temporary-Temporary,Term,3
T_2010_02,T_2010_03,Temporary-Temporary,Term,3
T_2009_06,T_2010_04,Temporary-Temporary,Term,3
T_2009_07,T_2010_04,Temporary-Temporary,Term,3
T_2009_08,T_2010_04,Temporary-Temporary,Term,3
T_2009_09,T_2010_04,Temporary-Temporary,Term,3
T_2009_10,T_2010_04,Temporary-Temporary,Term,3
T_2009_11,T_2010_04,Temporary-Temporary,Term,3
T_2009_12,T_2010_04,Temporary-Temporary,Term,3
T_2010_01,T_2010_04,Temporary-Temporary,Term,3
T_2010_02,T_2010_04,Temporary-Temporary,Term,3
T_2010_03,T_2010_04,Temporary-Temporary,Term,3
T_2009_06,T_2010_05,Temporary-Temporary,Term,3
T_2009_07,T_2010_05,Temporary-Temporary,Term,3
T_2009_08,T_2010_05,Temporary-Temporary,Term,3
T_2009_09,T_2010_05,Temporary-Temporary,Term,3
T_2009_10,T_2010_05,Temporary-Temporary,Term,3
T_2009_11,T_2010_05,Temporary-Temporary,Term,3
T_2009_12,T_2010_05,Temporary-Temporary,Term,3
T_2010_01,T_2010_05,Temporary-Temporary,Term,3
T_2010_02,T_2010_05,Temporary-Temporary,Term,3
T_2010_03,T_2010_05,Temporary-Temporary,Term,3
T_2010_04,T_2010_05,Temporary-Temporary,Term,3
T_2009_06,T_2010_06,Temporary-Temporary,Term,3
T_2009_07,T_2010_06,Temporary-Temporary,Term,3
T_2009_08,T_2010_06,Temporary-Temporary,Term,3
T_2009_09,T_2010_06,Temporary-Temporary,Term,3
T_2009_10,T_2010_06,Temporary-Temporary,Term,3
T_2009_11,T_2010_06,Temporary-Temporary,Term,3
T_2009_12,T_2010_06,Temporary-Temporary,Term,3
T_2010_01,T_2010_06,Temporary-Temporary,Term,3
T_2010_02,T_2010_06,Temporary-Temporary,Term,3
T_2010_03,T_2010_06,Temporary-Temporary,Term,3
T_2010_04,T_2010_06,Temporary-Temporary,Term,3
T_2010_05,T_2010_06,Temporary-Temporary,Term,3
T_2009_06,T_2010_07,Temporary-Temporary,Term,3
