date,AH1N12009
2009-03-01T15:00:00.000Z,
2009-03-01T15:00:00.000Z,
2009-03-01T15:00:00.000Z,
2009-03-01T15:00:00.000Z,0
2009-03-01T15:00:00.000Z,0
2009-03-01T15:00:00.000Z,0
2009-03-01T15:00:00.000Z,0
2009-03-01T15:00:00.000Z,
2009-03-08T15:00:00.000Z,
2009-03-08T15:00:00.000Z,
2009-03-08T15:00:00.000Z,
2009-03-08T15:00:00.000Z,0
2009-03-08T15:00:00.000Z,
2009-03-08T15:00:00.000Z,0
2009-03-08T15:00:00.000Z,0
2009-03-08T15:00:00.000Z,0
2009-03-15T15:00:00.000Z,
2009-03-15T15:00:00.000Z,
2009-03-15T15:00:00.000Z,
2009-03-15T15:00:00.000Z,0
2009-03-15T15:00:00.000Z,0
2009-03-15T15:00:00.000Z,0
2009-03-15T15:00:00.000Z,
2009-03-15T15:00:00.000Z,0
2009-03-22T15:00:00.000Z,
2009-03-22T15:00:00.000Z,
2009-03-22T15:00:00.000Z,
2009-03-22T15:00:00.000Z,0
2009-03-22T15:00:00.000Z,0
2009-03-22T15:00:00.000Z,0
2009-03-22T15:00:00.000Z,0
2009-03-22T15:00:00.000Z,
2009-03-29T15:00:00.000Z,
2009-03-29T15:00:00.000Z,
2009-03-29T15:00:00.000Z,
2009-03-29T15:00:00.000Z,0
2009-03-29T15:00:00.000Z,0
2009-03-29T15:00:00.000Z,0
2009-03-29T15:00:00.000Z,
2009-03-29T15:00:00.000Z,0
2009-04-05T15:00:00.000Z,
2009-04-05T15:00:00.000Z,
2009-04-05T15:00:00.000Z,
2009-04-05T15:00:00.000Z,0
2009-04-05T15:00:00.000Z,0
2009-04-05T15:00:00.000Z,0
2009-04-05T15:00:00.000Z,0
2009-04-05T15:00:00.000Z,
2009-04-12T15:00:00.000Z,
2009-04-12T15:00:00.000Z,
2009-04-12T15:00:00.000Z,
2009-04-12T15:00:00.000Z,0
2009-04-12T15:00:00.000Z,0
2009-04-12T15:00:00.000Z,0
2009-04-12T15:00:00.000Z,0
2009-04-12T15:00:00.000Z,
2009-04-19T15:00:00.000Z,
2009-04-19T15:00:00.000Z,
2009-04-19T15:00:00.000Z,
2009-04-19T15:00:00.000Z,0
2009-04-19T15:00:00.000Z,0
2009-04-19T15:00:00.000Z,0
2009-04-19T15:00:00.000Z,0
2009-04-19T15:00:00.000Z,
2009-04-26T15:00:00.000Z,
2009-04-26T15:00:00.000Z,
2009-04-26T15:00:00.000Z,
2009-04-26T15:00:00.000Z,
2009-04-26T15:00:00.000Z,0
2009-04-26T15:00:00.000Z,0
2009-04-26T15:00:00.000Z,0
2009-04-26T15:00:00.000Z,0
2009-05-03T15:00:00.000Z,
2009-05-03T15:00:00.000Z,
2009-05-03T15:00:00.000Z,
2009-05-03T15:00:00.000Z,0
2009-05-03T15:00:00.000Z,0
2009-05-03T15:00:00.000Z,0
2009-05-03T15:00:00.000Z,0
2009-05-03T15:00:00.000Z,
2009-05-10T15:00:00.000Z,
2009-05-10T15:00:00.000Z,
2009-05-10T15:00:00.000Z,
2009-05-10T15:00:00.000Z,0
2009-05-10T15:00:00.000Z,0
2009-05-10T15:00:00.000Z,0
2009-05-10T15:00:00.000Z,0
2009-05-10T15:00:00.000Z,
2009-05-17T15:00:00.000Z,
2009-05-17T15:00:00.000Z,
2009-05-17T15:00:00.000Z,
2009-05-17T15:00:00.000Z,0
2009-05-17T15:00:00.000Z,0
2009-05-17T15:00:00.000Z,0
2009-05-17T15:00:00.000Z,
2009-05-17T15:00:00.000Z,0
2009-05-24T15:00:00.000Z,
2009-05-24T15:00:00.000Z,
2009-05-24T15:00:00.000Z,
2009-05-24T15:00:00.000Z,0
2009-05-24T15:00:00.000Z,0
2009-05-24T15:00:00.000Z,0
2009-05-24T15:00:00.000Z,0
2009-05-24T15:00:00.000Z,
2009-05-31T15:00:00.000Z,
2009-05-31T15:00:00.000Z,
2009-05-31T15:00:00.000Z,
2009-05-31T15:00:00.000Z,0
2009-05-31T15:00:00.000Z,0
2009-05-31T15:00:00.000Z,0
2009-05-31T15:00:00.000Z,
2009-05-31T15:00:00.000Z,0
2009-06-07T15:00:00.000Z,
2009-06-07T15:00:00.000Z,
2009-06-07T15:00:00.000Z,
2009-06-07T15:00:00.000Z,0
2009-06-07T15:00:00.000Z,0
2009-06-07T15:00:00.000Z,0
2009-06-07T15:00:00.000Z,
2009-06-07T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,1
2009-06-14T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,0
2009-06-14T15:00:00.000Z,1
2009-06-21T15:00:00.000Z,0
2009-06-21T15:00:00.000Z,2
2009-06-21T15:00:00.000Z,0
2009-06-21T15:00:00.000Z,0
2009-06-21T15:00:00.000Z,0
2009-06-21T15:00:00.000Z,1
2009-06-21T15:00:00.000Z,0
2009-06-21T15:00:00.000Z,11
2009-06-21T15:00:00.000Z,7
2009-06-28T15:00:00.000Z,
2009-06-28T15:00:00.000Z,0
2009-06-28T15:00:00.000Z,0
2009-06-28T15:00:00.000Z,0
2009-06-28T15:00:00.000Z,3
2009-06-28T15:00:00.000Z,0
2009-06-28T15:00:00.000Z,0
2009-06-28T15:00:00.000Z,8
2009-06-28T15:00:00.000Z,19
2009-07-05T15:00:00.000Z,0
2009-07-05T15:00:00.000Z,0
2009-07-05T15:00:00.000Z,0
2009-07-05T15:00:00.000Z,0
2009-07-05T15:00:00.000Z,4
2009-07-05T15:00:00.000Z,0
2009-07-05T15:00:00.000Z,0
2009-07-05T15:00:00.000Z,69
2009-07-12T15:00:00.000Z,0
2009-07-12T15:00:00.000Z,0
2009-07-12T15:00:00.000Z,2
2009-07-12T15:00:00.000Z,0
2009-07-12T15:00:00.000Z,0
2009-07-12T15:00:00.000Z,4
2009-07-12T15:00:00.000Z,0
2009-07-12T15:00:00.000Z,49
2009-07-19T15:00:00.000Z,0
2009-07-19T15:00:00.000Z,0
2009-07-19T15:00:00.000Z,0
2009-07-19T15:00:00.000Z,5
2009-07-19T15:00:00.000Z,2
2009-07-19T15:00:00.000Z,0
2009-07-19T15:00:00.000Z,69
2009-07-26T15:00:00.000Z,0
2009-07-26T15:00:00.000Z,0
2009-07-26T15:00:00.000Z,1
2009-07-26T15:00:00.000Z,0
2009-07-26T15:00:00.000Z,0
2009-07-26T15:00:00.000Z,6
2009-07-26T15:00:00.000Z,0
2009-07-26T15:00:00.000Z,136
2009-08-02T15:00:00.000Z,0
2009-08-02T15:00:00.000Z,0
2009-08-02T15:00:00.000Z,0
2009-08-02T15:00:00.000Z,4
2009-08-02T15:00:00.000Z,3
2009-08-02T15:00:00.000Z,2
2009-08-02T15:00:00.000Z,18
2009-08-02T15:00:00.000Z,0
2009-08-02T15:00:00.000Z,187
2009-08-09T15:00:00.000Z,0
2009-08-09T15:00:00.000Z,0
2009-08-09T15:00:00.000Z,0
2009-08-09T15:00:00.000Z,0
2009-08-09T15:00:00.000Z,7
2009-08-09T15:00:00.000Z,0
2009-08-09T15:00:00.000Z,20
2009-08-09T15:00:00.000Z,0
2009-08-09T15:00:00.000Z,134
2009-08-16T15:00:00.000Z,0
2009-08-16T15:00:00.000Z,2
2009-08-16T15:00:00.000Z,0
2009-08-16T15:00:00.000Z,0
2009-08-16T15:00:00.000Z,4
2009-08-16T15:00:00.000Z,5
2009-08-16T15:00:00.000Z,22
2009-08-16T15:00:00.000Z,0
2009-08-16T15:00:00.000Z,185
2009-08-23T15:00:00.000Z,0
2009-08-23T15:00:00.000Z,0
2009-08-23T15:00:00.000Z,1
2009-08-23T15:00:00.000Z,7
2009-08-23T15:00:00.000Z,0
2009-08-23T15:00:00.000Z,1
2009-08-23T15:00:00.000Z,13
2009-08-23T15:00:00.000Z,0
2009-08-23T15:00:00.000Z,147
2009-08-30T15:00:00.000Z,0
2009-08-30T15:00:00.000Z,0
2009-08-30T15:00:00.000Z,6
2009-08-30T15:00:00.000Z,0
2009-08-30T15:00:00.000Z,4
2009-08-30T15:00:00.000Z,2
2009-08-30T15:00:00.000Z,11
2009-08-30T15:00:00.000Z,80
2009-08-30T15:00:00.000Z,0
2009-09-06T15:00:00.000Z,0
2009-09-06T15:00:00.000Z,0
2009-09-06T15:00:00.000Z,0
2009-09-06T15:00:00.000Z,0
2009-09-06T15:00:00.000Z,11
2009-09-06T15:00:00.000Z,2
2009-09-06T15:00:00.000Z,23
2009-09-06T15:00:00.000Z,23
2009-09-06T15:00:00.000Z,63
2009-09-06T15:00:00.000Z,0
2009-09-13T15:00:00.000Z,0
2009-09-13T15:00:00.000Z,0
2009-09-13T15:00:00.000Z,2
2009-09-13T15:00:00.000Z,0
2009-09-13T15:00:00.000Z,26
2009-09-13T15:00:00.000Z,19
2009-09-13T15:00:00.000Z,67
2009-09-13T15:00:00.000Z,37
2009-09-13T15:00:00.000Z,0
2009-09-20T15:00:00.000Z,32
2009-09-20T15:00:00.000Z,0
2009-09-20T15:00:00.000Z,0
2009-09-20T15:00:00.000Z,0
2009-09-20T15:00:00.000Z,0
2009-09-20T15:00:00.000Z,11
2009-09-20T15:00:00.000Z,8
2009-09-20T15:00:00.000Z,16
2009-09-20T15:00:00.000Z,0
2009-09-27T15:00:00.000Z,0
2009-09-27T15:00:00.000Z,0
2009-09-27T15:00:00.000Z,0
2009-09-27T15:00:00.000Z,2
2009-09-27T15:00:00.000Z,0
2009-09-27T15:00:00.000Z,30
2009-09-27T15:00:00.000Z,5
2009-09-27T15:00:00.000Z,6
2009-09-27T15:00:00.000Z,76
2009-09-27T15:00:00.000Z,0
2009-10-04T15:00:00.000Z,0
2009-10-04T15:00:00.000Z,1
2009-10-04T15:00:00.000Z,12
2009-10-04T15:00:00.000Z,0
2009-10-04T15:00:00.000Z,0
2009-10-04T15:00:00.000Z,49
2009-10-04T15:00:00.000Z,1
2009-10-04T15:00:00.000Z,51
2009-10-04T15:00:00.000Z,76
2009-10-04T15:00:00.000Z,0
2009-10-11T15:00:00.000Z,0
2009-10-11T15:00:00.000Z,0
2009-10-11T15:00:00.000Z,2
2009-10-11T15:00:00.000Z,35
2009-10-11T15:00:00.000Z,0
2009-10-11T15:00:00.000Z,57
