Id,Label,Type
T_2009_03,March 2009,Temporal
T_2009_04,April 2009,Temporal
T_2009_05,May 2009,Temporal
T_2009_06,June 2009,Temporal
T_2009_07,July 2009,Temporal
T_2009_08,August 2009,Temporal
T_2009_09,September 2009,Temporal
T_2009_10,October 2009,Temporal
T_2009_11,November 2009,Temporal
T_2009_12,December 2009,Temporal
T_2010_01,January 2010,Temporal
T_2010_02,February 2010,Temporal
T_2010_03,March 2010,Temporal
T_2010_04,April 2010,Temporal
T_2010_05,May 2010,Temporal
T_2010_06,June 2010,Temporal
T_2010_07,July 2010,Temporal
T_2010_08,August 2010,Temporal
T_2010_09,September 2010,Temporal
T_2010_10,October 2010,Temporal
T_2010_11,November 2010,Temporal
T_2010_12,December 2010,Temporal
T_2011_01,January 2011,Temporal
T_2011_02,February 2011,Temporal
T_2011_03,March 2011,Temporal
T_2011_04,April 2011,Temporal
T_2011_05,May 2011,Temporal
T_2011_06,June 2011,Temporal
T_2011_07,July 2011,Temporal
T_2011_08,August 2011,Temporal
T_2011_09,September 2011,Temporal
T_2011_10,October 2011,Temporal
T_2011_11,November 2011,Temporal
T_2011_12,December 2011,Temporal
T_2012_01,January 2012,Temporal
T_2012_02,February 2012,Temporal
T_2012_03,March 2012,Temporal
T_2012_04,April 2012,Temporal
T_2012_05,May 2012,Temporal
T_2012_06,June 2012,Temporal
T_2012_07,July 2012,Temporal
T_2012_08,August 2012,Temporal
T_2012_09,September 2012,Temporal
T_2012_10,October 2012,Temporal
T_2012_11,November 2012,Temporal
T_2012_12,December 2012,Temporal
T_2013_01,January 2013,Temporal
T_2013_02,February 2013,Temporal
T_2013_03,March 2013,Temporal
T_2013_04,April 2013,Temporal
T_2013_05,May 2013,Temporal
T_2013_06,June 2013,Temporal
T_2013_07,July 2013,Temporal
T_2013_08,August 2013,Temporal
T_2013_09,September 2013,Temporal
T_2013_10,October 2013,Temporal
T_2013_11,November 2013,Temporal
T_2013_12,December 2013,Temporal
T_2014_01,January 2014,Temporal
T_2014_02,February 2014,Temporal
T_2014_03,March 2014,Temporal
T_2014_04,April 2014,Temporal
T_2014_05,May 2014,Temporal
T_2014_06,June 2014,Temporal
T_2014_07,July 2014,Temporal
T_2014_08,August 2014,Temporal
T_2014_09,September 2014,Temporal
T_2014_10,October 2014,Temporal
T_2014_11,November 2014,Temporal
T_2014_12,December 2014,Temporal
T_2015_01,January 2015,Temporal
T_2015_02,February 2015,Temporal
T_2015_03,March 2015,Temporal
T_2015_04,April 2015,Temporal
T_2015_05,May 2015,Temporal
T_2015_06,June 2015,Temporal
T_2015_07,July 2015,Temporal
T_2015_08,August 2015,Temporal
T_2015_09,September 2015,Temporal
T_2015_10,October 2015,Temporal
T_2015_11,November 2015,Temporal
T_2015_12,December 2015,Temporal
T_2016_01,January 2016,Temporal
T_2016_02,February 2016,Temporal
T_2016_03,March 2016,Temporal
T_2016_04,April 2016,Temporal
