date,new cases
2009-01-05,0
2009-01-12,0
2009-01-19,0
2009-01-26,0
2009-02-02,3
2009-02-09,9
2009-02-16,0
2009-02-23,6
2009-03-02,6
2009-03-09,21
2009-03-16,45
2009-03-23,78
2009-03-30,168
2009-04-06,171
2009-04-13,450
2009-04-20,3819
2009-04-27,10662
2009-05-04,11982
2009-05-11,8662
2009-05-18,12460
2009-05-25,11999
2009-06-01,18788
2009-06-08,28680
2009-06-15,34830
2009-06-22,37874
2009-06-29,35780
2009-07-06,34669
2009-07-13,32535
2009-07-20,30830
2009-07-27,29995
2009-08-03,21380
2009-08-10,25771
2009-08-17,28059
2009-08-24,26633
2009-08-31,30460
2009-09-07,40403
2009-09-14,42872
2009-09-21,51400
2009-09-28,45056
2009-10-05,49027
2009-10-12,65352
2009-10-19,86371
2009-10-26,101737
2009-11-02,109512
2009-11-09,109788
2009-11-16,103033
2009-11-23,79598
2009-11-30,60252
2009-12-07,50277
2009-12-14,38216
2009-12-21,27469
2009-12-28,16785
2010-01-04,17001
2010-01-11,12639
2010-01-18,10175
2010-01-25,7039
2010-02-01,6317
2010-02-08,5654
2010-02-15,4845
2010-02-22,4651
2010-03-01,4454
2010-03-08,4350
2010-03-15,3351
2010-03-22,2988
2010-03-29,2565
2010-04-05,2147
2010-04-12,1908
2010-04-19,1320
2010-04-26,1113
2010-05-03,1434
2010-05-10,1276
2010-05-17,979
2010-05-24,930
2010-05-31,912
2010-06-07,1104
2010-06-14,858
2010-06-21,1125
2010-06-28,1167
2010-07-05,1317
2010-07-12,1509
2010-07-19,1797
2010-07-26,2208
2010-08-02,2653
2010-08-09,2868
2010-08-16,2555
2010-08-23,2586
2010-08-30,2055
2010-09-06,1593
2010-09-13,1312
2010-09-20,1134
2010-09-27,954
2010-10-04,681
2010-10-11,533
2010-10-18,597
2010-10-25,735
2010-11-01,587
2010-11-08,601
2010-11-15,641
2010-11-22,895
2010-11-29,1305
2010-12-06,2137
2010-12-13,4229
2010-12-20,9220
2010-12-27,12077
2011-01-03,15421
2011-01-10,20282
2011-01-17,25938
2011-01-24,30410
2011-01-31,30343
2011-02-07,32624
2011-02-14,29431
2011-02-21,20588
2011-02-28,18331
2011-03-07,10702
2011-03-14,9789
2011-03-21,6480
2011-03-28,4116
2011-04-04,2569
2011-04-11,1533
2011-04-18,816
2011-04-25,621
2011-05-02,360
2011-05-09,408
2011-05-16,519
2011-05-23,609
2011-05-30,834
2011-06-06,1080
2011-06-13,994
2011-06-20,874
2011-06-27,771
2011-07-04,1059
2011-07-11,990
2011-07-18,1032
2011-07-25,889
2011-08-01,1023
2011-08-08,1080
2011-08-15,952
2011-08-22,705
2011-08-29,792
2011-09-05,594
2011-09-12,678
2011-09-19,870
2011-09-26,1560
2011-10-03,655
2011-10-10,972
2011-10-17,1348
2011-10-24,1054
2011-10-31,858
2011-11-07,573
2011-11-14,396
2011-11-21,330
2011-11-28,255
2011-12-05,268
2011-12-12,360
2011-12-19,501
2011-12-26,519
2012-01-02,1051
2012-01-09,1848
2012-01-16,2365
2012-01-23,3201
2012-01-30,2944
2012-02-06,2871
2012-02-13,2259
2012-02-20,2202
2012-02-27,2505
2012-03-05,2590
2012-03-12,3069
2012-03-19,2679
2012-03-26,2200
2012-04-02,1641
2012-04-09,1380
2012-04-16,1023
2012-04-23,721
2012-04-30,603
2012-05-07,465
2012-05-14,540
2012-05-21,555
2012-05-28,943
2012-06-04,1026
2012-06-11,1071
2012-06-18,864
2012-06-25,912
2012-07-02,900
2012-07-09,672
2012-07-16,618
2012-07-23,660
2012-07-30,559
2012-08-06,480
2012-08-13,549
2012-08-20,666
2012-08-27,699
2012-09-03,681
2012-09-10,810
2012-09-17,666
2012-09-24,606
2012-10-01,640
2012-10-08,658
2012-10-15,545
2012-10-22,449
2012-10-29,406
2012-11-05,566
2012-11-12,582
2012-11-19,455
2012-11-26,560
2012-12-03,682
2012-12-10,1025
2012-12-17,1375
2012-12-24,1423
2012-12-31,2874
2013-01-07,6732
2013-01-14,7311
2013-01-21,10919
2013-01-28,13387
2013-02-04,13726
2013-02-11,13959
2013-02-18,13330
2013-02-25,12427
2013-03-04,10400
2013-03-11,8090
2013-03-18,6459
2013-03-25,4511
2013-04-01,3552
2013-04-08,3829
2013-04-15,3128
2013-04-22,2816
2013-04-29,2488
2013-05-06,2462
2013-05-13,2201
2013-05-20,2563
2013-05-27,2626
2013-06-03,3237
2013-06-10,4224
2013-06-17,3595
2013-06-24,3984
2013-07-01,3760
2013-07-08,3150
2013-07-15,2994
2013-07-22,2530
2013-07-29,2381
2013-08-05,2067
2013-08-12,1644
2013-08-19,1446
2013-08-26,1266
2013-09-02,1092
2013-09-09,1152
2013-09-16,1017
2013-09-23,1032
2013-09-30,903
2013-10-07,952
2013-10-14,734
2013-10-21,951
2013-10-28,1172
2013-11-04,1284
2013-11-11,1911
2013-11-18,2336
2013-11-25,2944
2013-12-02,5038
2013-12-09,6656
2013-12-16,11223
2013-12-23,16023
2013-12-30,21949
2014-01-06,28386
2014-01-13,28332
2014-01-20,25283
2014-01-27,19832
2014-02-03,19282
2014-02-10,17540
2014-02-17,15435
2014-02-24,13129
2014-03-03,10216
2014-03-10,8103
2014-03-17,6303
2014-03-24,4745
2014-03-31,3463
2014-04-07,2487
2014-04-14,1632
2014-04-21,1317
2014-04-28,1205
