Source,Target ,Type,Attribute,Value,SourceType,TargetType
2009/03,2009/04,Temporary-Temporary,Term,1,Temporary,Temporary
2009/03,2009/05,Temporary-Temporary,Term,1,Temporary,Temporary
2009/04,2009/05,Temporary-Temporary,Term,1,Temporary,Temporary
2009/06,2009/07,Temporary-Temporary,Term,3,Temporary,Temporary
2009/06,2009/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/07,2009/08,Temporary-Temporary,Term,3,Temporary,Temporary
2009/06,2009/09,Temporary-Temporary,Term,3,Temporary,Temporary
2009/07,2009/09,Temporary-Temporary,Term,3,Temporary,Temporary
2009/08,2009/09,Temporary-Temporary,Term,3,Temporary,Temporary
2009/06,2009/10,Temporary-Temporary,Term,3,Temporary,Temporary
2009/07,2009/10,Temporary-Temporary,Term,3,Temporary,Temporary
2009/08,2009/10,Temporary-Temporary,Term,3,Temporary,Temporary
2009/09,2009/10,Temporary-Temporary,Term,3,Temporary,Temporary
2009/06,2009/11,Temporary-Temporary,Term,3,Temporary,Temporary
2009/07,2009/11,Temporary-Temporary,Term,3,Temporary,Temporary
2009/08,2009/11,Temporary-Temporary,Term,3,Temporary,Temporary
2009/09,2009/11,Temporary-Temporary,Term,3,Temporary,Temporary
2009/10,2009/11,Temporary-Temporary,Term,3,Temporary,Temporary
2009/06,2009/12,Temporary-Temporary,Term,3,Temporary,Temporary
2009/07,2009/12,Temporary-Temporary,Term,3,Temporary,Temporary
2009/08,2009/12,Temporary-Temporary,Term,3,Temporary,Temporary
2009/09,2009/12,Temporary-Temporary,Term,3,Temporary,Temporary
2009/10,2009/12,Temporary-Temporary,Term,3,Temporary,Temporary
2009/11,2009/12,Temporary-Temporary,Term,3,Temporary,Temporary
2009/06,2010/01,Temporary-Temporary,Term,3,Temporary,Temporary
2009/07,2010/01,Temporary-Temporary,Term,3,Temporary,Temporary
2009/08,2010/01,Temporary-Temporary,Term,3,Temporary,Temporary
2009/09,2010/01,Temporary-Temporary,Term,3,Temporary,Temporary
2009/10,2010/01,Temporary-Temporary,Term,3,Temporary,Temporary
