date,cases
2009-03,318
2009-04,15102
2009-05,45103
2009-06,155952
2009-07,128029
2009-08,132303
2009-09,179731
2009-10,302487
2009-11,462183
2009-12,132747
2010-01,46854
2010-02,21467
2010-03,17708
2010-04,6488
2010-05,5531
2010-06,4254
2010-07,6831
2010-08,12717
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,8140
2020-02,306388
2020-03,2774991
2020-04,8618144
2020-05,12839889
2020-06,15852034
2020-07,24432242
2020-08,37568841
2020-09,33477437
2020-10,43233927
2020-11,84396057
2020-12,72463296
2021-01,92905629
2021-02,46698894
2021-03,55239123
2021-04,82184784
2021-05,97178716
2021-06,43778474
2021-07,54942174
2021-08,91154888
2021-09,63275828
2021-10,62902229
2021-11,63733746
2021-12,85019217
2022-01,411909030
2022-02,259990699
2022-03,200032442
2022-04,119360645
2022-05,81377207
2022-06,65532651
2022-07,143781254
2022-08,95236731
2022-09,59736672
2022-10,67234159
2022-11,44976971
2022-12,272018579
2023-01,192447693
2023-02,20376737
2023-03,15441982
2023-04,15183704
2023-05,7964118
2023-06,3899754
2023-07,4647517
2023-08,6371956
2023-09,3741436
2023-10,3446140
2023-11,3435280
2023-12,7088115
2024-01,2719818
2024-02,1407543
2024-03,1422234
2024-04,592511
2024-05,1063144
2024-06,2572249
2024-07,2506985
2024-08,3044475
2024-09,2366135
2024-10,2873427
2024-11,2233197
2024-12,2176537
2025-01,2643179
2025-02,2054252
2025-03,2002133
2025-04,1951334
2025-05,2369693
